id,event_time,event_type,device_name,device_ip,threat_level,category,attack_function,attack_step,signature,src_ip,src_port,src_mac,dst_ip,dst_port,dst_mac,protocol,packets_to_server,packets_to_client,bytes_to_server,bytes_to_client,created_at,added_to_baseline_at,event_time_hour,event_time_day,event_time_weekday,event_time_is_work_hour,created_at_hour,created_at_day,created_at_weekday,created_at_is_work_hour,src_ip_is_internal,dst_ip_is_internal,device_ip_is_internal,src_ip_segment,dst_ip_segment,device_ip_segment,same_segment,src_port_service,src_port_is_common,dst_port_service,dst_port_is_common,event_type_freq,category_freq,src_ip_freq,src_ip_segment_freq,attack_function_freq,attack_step_freq,signature_freq,total_bytes,total_packets,avg_packet_size,isolation_forest_score,kmeans_score,isolation_forest_anomaly,kmeans_anomaly,is_anomaly,anomaly_score
138373,2025-05-09 10:52:47,Alert,WxP2_CMA,174.35.74.39,20,攻击探测,网络扫描,初始化访问,TCP_网络扫描_nmap_icmp扫描,174.35.69.254,0,00:1c:7f:4b:12:31,174.35.68.39,0,9c:05:67:08:b1:fc,ICMP/unknown,2,1,120,60,2025-05-09 10:55:00,,10,9,4,1,10,9,4,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.88,0.08,0.6,0.48,1.0,0.48,180,3,60.0,0.5574637456257431,0.8375550402340505,False,False,False,0.6975093929298968
138374,2025-05-09 11:56:48,Alert,WxP2_CMA,174.35.74.39,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.244.11,0,00:11:32:f9:6f:07,10.174.243.231,0,00:1c:7f:4b:12:31,ICMP/unknown,1,0,98,0,2025-05-09 12:00:00,,11,9,4,1,12,9,4,1,1,1,1,10.174,10.174,174.35,1,other,0,other,0,1.0,0.88,0.08,0.36,0.4,1.0,0.4,98,1,98.0,0.6678248102347228,1.0,False,False,False,0.8339124051173614
138375,2025-05-09 12:00:11,Alert,WxP1_IDS,174.35.26.10,20,攻击探测,网络扫描,初始化访问,TCP_网络扫描_nmap_icmp扫描,174.35.24.29,0,00:0a:f5:9a:e1:f1,174.35.24.254,0,00:00:0c:07:ac:18,ICMP/unknown,1,0,60,0,2025-05-09 12:05:00,,12,9,4,1,12,9,4,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.88,0.08,0.6,0.48,1.0,0.48,60,1,60.0,0.49833292800717727,0.9946653657645761,True,False,True,0.7464991468858767
138376,2025-05-09 12:40:45,Alert,WxP2_CMA,174.35.74.39,30,攻击利用,SQL注入,初始化访问,HTTP_注入攻击_算法_请求体SQL注入,174.35.58.98,49767,7c:b2:7d:2b:14:d4,174.35.48.2,3000,00:1c:7f:4b:12:31,TCP/http,231,342,88312,348854,2025-05-09 12:45:00,,12,9,4,1,12,9,4,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.12,0.08,0.6,0.08,1.0,0.08,437166,573,762.9424083769634,0.9999999989170849,0.8846105221478613,False,False,False,0.9423052605324731
138377,2025-05-09 13:31:47,Alert,WxP2_CMA,174.35.74.39,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,174.35.75.132,0,08:f1:ea:f7:20:e8,172.31.0.220,0,00:1c:7f:4b:12:31,ICMP/unknown,1,0,98,0,2025-05-09 13:35:00,,13,9,4,1,13,9,4,1,1,0,1,174.35,172.31.0,174.35,0,other,0,other,0,1.0,0.88,0.04,0.6,0.4,1.0,0.4,98,1,98.0,0.22267211853358085,0.5398794889795069,True,False,True,0.38127580375654385
138363,2025-05-08 16:22:58,Alert,WxP1_IDS,174.35.26.10,20,攻击探测,网络扫描,初始化访问,TCP_网络扫描_nmap_icmp扫描,174.35.24.3,0,9c:05:67:c4:80:79,174.35.24.254,0,00:00:0c:07:ac:18,ICMP/unknown,1,0,60,0,2025-05-08 16:25:00,2025-05-09 16:00:42,16,8,3,1,16,8,3,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.88,0.08,0.6,0.48,1.0,0.48,60,1,60.0,0.5324672396364806,0.8903765374837644,False,False,False,0.7114218885601225
138364,2025-05-08 16:34:13,Alert,WxP1_IDS,174.35.26.10,20,攻击探测,网络扫描,初始化访问,TCP_网络扫描_nmap_icmp扫描,174.35.24.86,0,44:90:46:87:a2:f5,174.35.24.254,0,00:00:0c:07:ac:18,ICMP/unknown,1,0,60,0,2025-05-08 16:35:00,2025-05-09 16:00:42,16,8,3,1,16,8,3,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.88,0.08,0.6,0.48,1.0,0.48,60,1,60.0,0.5324672396364806,0.8903765374837644,False,False,False,0.7114218885601225
138366,2025-05-08 19:35:47,Alert,WxP2_CMA,174.35.74.39,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.254,0,00:1c:7f:4b:12:31,10.174.228.62,0,ec:eb:b8:d1:d8:bf,ICMP/unknown,2,1,196,98,2025-05-08 19:40:00,2025-05-09 16:00:42,19,8,3,0,19,8,3,0,1,1,1,10.174,10.174,174.35,1,other,0,other,0,1.0,0.88,0.08,0.36,0.4,1.0,0.4,294,3,98.0,0.4920976242462872,0.3499845821591462,True,True,True,0.4210411032027167
138367,2025-05-08 20:22:51,Alert,WxP2_CMA,174.35.74.39,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.68,0,20:67:7c:e5:fc:6c,10.174.228.254,0,00:1c:7f:4b:12:31,ICMP/unknown,1,0,98,0,2025-05-08 20:25:00,2025-05-09 16:00:42,20,8,3,0,20,8,3,0,1,1,1,10.174,10.174,174.35,1,other,0,other,0,1.0,0.88,0.08,0.36,0.4,1.0,0.4,98,1,98.0,0.49957466025476427,0.2637902856040961,True,True,True,0.3816824729294302
138370,2025-05-09 04:46:04,Alert,WxP2_CMA,174.35.74.39,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.62,0,ec:eb:b8:d1:d8:bf,10.174.228.254,0,00:1c:7f:4b:12:31,ICMP/unknown,1,0,98,0,2025-05-09 04:50:00,2025-05-09 16:00:42,4,9,4,0,4,9,4,0,1,1,1,10.174,10.174,174.35,1,other,0,other,0,1.0,0.88,0.08,0.36,0.4,1.0,0.4,98,1,98.0,0.47028950844820044,0.9836321759264346,True,False,True,0.7269608421873175
138372,2025-05-09 10:01:01,Alert,WxP1_IDS,174.35.26.10,20,攻击探测,网络扫描,初始化访问,TCP_网络扫描_nmap_icmp扫描,174.35.24.16,0,14:61:a4:da:fb:36,174.35.24.254,0,00:00:0c:07:ac:18,ICMP/unknown,1,0,60,0,2025-05-09 10:05:00,2025-05-09 16:00:42,10,9,4,1,10,9,4,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.88,0.08,0.6,0.48,1.0,0.48,60,1,60.0,0.5351090059802669,0.8375550268579488,False,False,False,0.6863320164191078
138373,2025-05-09 10:52:47,Alert,WxP2_CMA,174.35.74.39,20,攻击探测,网络扫描,初始化访问,TCP_网络扫描_nmap_icmp扫描,174.35.69.254,0,00:1c:7f:4b:12:31,174.35.68.39,0,9c:05:67:08:b1:fc,ICMP/unknown,2,1,120,60,2025-05-09 10:55:00,2025-05-09 16:00:42,10,9,4,1,10,9,4,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.88,0.08,0.6,0.48,1.0,0.48,180,3,60.0,0.5574637456257431,0.8375550402340505,False,False,False,0.6975093929298968
138374,2025-05-09 11:56:48,Alert,WxP2_CMA,174.35.74.39,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.244.11,0,00:11:32:f9:6f:07,10.174.243.231,0,00:1c:7f:4b:12:31,ICMP/unknown,1,0,98,0,2025-05-09 12:00:00,2025-05-09 16:00:42,11,9,4,1,12,9,4,1,1,1,1,10.174,10.174,174.35,1,other,0,other,0,1.0,0.88,0.08,0.36,0.4,1.0,0.4,98,1,98.0,0.6678248102347228,1.0,False,False,False,0.8339124051173614
138375,2025-05-09 12:00:11,Alert,WxP1_IDS,174.35.26.10,20,攻击探测,网络扫描,初始化访问,TCP_网络扫描_nmap_icmp扫描,174.35.24.29,0,00:0a:f5:9a:e1:f1,174.35.24.254,0,00:00:0c:07:ac:18,ICMP/unknown,1,0,60,0,2025-05-09 12:05:00,2025-05-09 16:00:42,12,9,4,1,12,9,4,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.88,0.08,0.6,0.48,1.0,0.48,60,1,60.0,0.49833292800717727,0.9946653657645761,True,False,True,0.7464991468858767
138376,2025-05-09 12:40:45,Alert,WxP2_CMA,174.35.74.39,30,攻击利用,SQL注入,初始化访问,HTTP_注入攻击_算法_请求体SQL注入,174.35.58.98,49767,7c:b2:7d:2b:14:d4,174.35.48.2,3000,00:1c:7f:4b:12:31,TCP/http,231,342,88312,348854,2025-05-09 12:45:00,2025-05-09 16:00:42,12,9,4,1,12,9,4,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.12,0.08,0.6,0.08,1.0,0.08,437166,573,762.9424083769634,0.9999999989170849,0.8846105221478613,False,False,False,0.9423052605324731
